country	year	female_share_senmen_all	female_share_supboard_all	female_share_boards_all	female_share_weight_senmen_all	female_share_weight_supboard_all	female_share_weight_boards_all	zero_share_senmen_all	zero_share_supboard_all	zero_share_boards_all	female_share_senmen_prv	female_share_supboard_prv	female_share_boards_prv	female_share_weight_senmen_prv	female_share_weight_supboard_prv	female_share_weight_boards_prv	zero_share_senmen_prv	zero_share_supboard_prv	zero_share_boards_prv	female_share_senmen_stl	female_share_supboard_stl	female_share_boards_stl	female_share_weight_senmen_stl	female_share_weight_supboard_stl	female_share_weight_boards_stl	zero_share_senmen_stl	zero_share_supboard_stl	zero_share_boards_stl
"BELGIUM"	1992	0.15422735		0.20429245	0.155902		0.20811473	0.8325242718446602		0.7410377358490566	0.15422735		0.20429245	0.155902		0.20811473	0.8325242718446602		0.7410377358490566									
"FRANCE"	1992	0.2025623	0.23333333	0.20566803	0.20791864	0.21052632	0.21227095	0.7867354112959924	0.7333333333333333	0.7791173794358508	0.20260978	0.25	0.20576821	0.20796365	0.25	0.21254642	0.786685419596812	0.7142857142857143	0.7789929368876737	0.0	0.0	0.14285715	0.0	0.0	0.09090909	1.0	1.0	0.8571428571428571
"GERMANY"	1992	0.14142857	0.06666667	0.1402505	0.14068441	0.07692308	0.13768116	0.8285714285714286	0.8	0.8246445497630331	0.14142857	0.06666667	0.1402505	0.14068441	0.07692308	0.13768116	0.8285714285714286	0.8	0.8246445497630331									
"IRELAND"	1992	0.21647643	0.0	0.21593879	0.16452992	0.0	0.16382979	0.6129032258064516	1.0	0.6129032258064516	0.21788211	0.0	0.21734099	0.1670282	0.0	0.16630669	0.6103896103896104	1.0	0.6103896103896104									
"ITALY"	1992	0.083333336	0.0	0.11174243	0.083333336	0.0	0.13095239	0.8888888888888888	1.0	0.7954545454545454	0.083333336	0.0	0.11174243	0.083333336	0.0	0.13095239	0.8888888888888888	1.0	0.7954545454545454									
"SPAIN"	1992	0.16123189		0.19510585	0.16299559		0.21062802	0.8152173913043478		0.7470588235294118	0.16123189		0.19597043	0.16299559		0.2112403	0.8152173913043478		0.7459379615952733			0.0			0.0			1.0
"TURKEY"	1992	0.13043478		0.11359649	0.121212125		0.09677419	0.8260869565217391		0.7631578947368421	0.13043478		0.11359649	0.121212125		0.09677419	0.8260869565217391		0.7631578947368421									
"UK"	1992	0.056055866	0.2053155	0.057084657	0.05227343	0.18646865	0.052516527	0.923285456101969	0.7716049382716049	0.9181437178031957	0.056100473	0.21105225	0.057131283	0.052329727	0.191453	0.052573875	0.9232381950731405	0.7669491525423728	0.918146819494269	0.032051284	0.011904762	0.03488005	0.02739726	0.04761905	0.034188036	0.9487179487179487	0.9285714285714286	0.9166666666666666
"AUSTRIA"	1993	0.207483	0.0	0.1918239	0.21014492	0.0	0.19333333	0.7142857142857143	1.0	0.7358490566037735	0.207483	0.0	0.1918239	0.21014492	0.0	0.19333333	0.7142857142857143	1.0	0.7358490566037735									
"BELGIUM"	1993	0.16347381		0.21632123	0.1687415		0.23379916	0.8234436343241728		0.7337014753152559	0.16347381		0.21632123	0.1687415		0.23379916	0.8234436343241728		0.7337014753152559									
"BULGARIA"	1993	0.42857143		0.42857143	0.42857143		0.42857143	0.5714285714285714		0.5714285714285714	0.42857143		0.42857143	0.42857143		0.42857143	0.5714285714285714		0.5714285714285714									
"FINLAND"	1993	0.0		0.16666667	0.0		0.11111111	1.0		0.8333333333333334	0.0		0.16666667	0.0		0.11111111	1.0		0.8333333333333334									
"FRANCE"	1993	0.2004668	0.32608697	0.20452726	0.20631926	0.2857143	0.21176735	0.7889242520687461	0.6521739130434783	0.7804878048780488	0.20049232	0.3409091	0.20458075	0.20634359	0.32	0.2119168	0.7888973771326713	0.6363636363636364	0.7804213135068153	0.0	0.0	0.14285715	0.0	0.0	0.09090909	1.0	1.0	0.8571428571428571
"GERMANY"	1993	0.13829023	0.0	0.13628918	0.14638448	0.0	0.14163822	0.8318965517241379	1.0	0.8333333333333334	0.13829023	0.0	0.13658102	0.14638448	0.0	0.14188035	0.8318965517241379	1.0	0.8329764453961456									
"IRELAND"	1993	0.23484845	0.0	0.23456562	0.21052632	0.0	0.20983607	0.541814946619217	1.0	0.5422222222222223	0.23547696	0.0	0.2351928	0.2115314	0.0	0.21098901	0.5405887600356825	1.0	0.5409982174688057	0.0		0.0	0.0		0.0	1.0		1.0
"ITALY"	1993	0.075	0.0	0.15243903	0.10714286	0.0	0.16666667	0.85	1.0	0.7073170731707317	0.05263158	0.0	0.14375	0.07692308	0.0	0.15789473	0.8947368421052632	1.0	0.725									
"SLOVENIA"	1993	0.21428572	0.16666667	0.28947368	0.2	0.16666667	0.2413793	0.7857142857142857	0.3333333333333333	0.631578947368421	0.21428572	0.16666667	0.28947368	0.2	0.16666667	0.2413793	0.7857142857142857	0.3333333333333333	0.631578947368421									
"SPAIN"	1993	0.15128756	0.5	0.20356521	0.16755792	0.5	0.21222769	0.8261802575107297	0.5	0.7460719716168271	0.15161291	0.5	0.20397875	0.16785714	0.5	0.2125264	0.8258064516129032	0.5	0.7455561198577958	0.0		0.0	0.0		0.0	1.0		1.0
"TURKEY"	1993	0.1		0.12861112	0.08695652		0.14432989	0.8666666666666667		0.6	0.1		0.12861112	0.08695652		0.14432989	0.8666666666666667		0.6									
"UK"	1993	0.0580264	0.20666401	0.05911041	0.05385637	0.19206145	0.05398291	0.920479578202304	0.7710651828298887	0.9156092849768541	0.058073714	0.21332237	0.059173726	0.0539076	0.19919246	0.054045815	0.920460302525874	0.7664473684210527	0.9156485746712063	0.03508772	0.013888889	0.031620555	0.034782607	0.05263158	0.037433155	0.9298245614035088	0.9047619047619048	0.8985507246376812
"AUSTRIA"	1994	0.13636364	0.04761905	0.12335526	0.15730338	0.115384616	0.14903846	0.7954545454545454	0.9523809523809523	0.8157894736842105	0.13740458	0.04761905	0.12417219	0.15819208	0.115384616	0.14975846	0.7938931297709924	0.9523809523809523	0.8145695364238411									
"BELGIUM"	1994	0.17863232		0.22782919	0.18331829		0.24522544	0.8074243893836522		0.7182264768862577	0.17863232		0.22784354	0.18331829		0.24523751	0.8074243893836522		0.7182087296088682									
"BULGARIA"	1994	0.3181818		0.3181818	0.2857143		0.2857143	0.6363636363636364		0.6363636363636364	0.3181818		0.3181818	0.2857143		0.2857143	0.6363636363636364		0.6363636363636364									
"DENMARK"	1994	0.14285715		0.17299578	0.14285715		0.18478261	0.8571428571428571		0.7848101265822784	0.14285715		0.17299578	0.14285715		0.18478261	0.8571428571428571		0.7848101265822784									
"FINLAND"	1994	0.074394464		0.22283155	0.08053691		0.25660378	0.9238754325259516		0.610752688172043	0.074394464		0.22283155	0.08053691		0.25660378	0.9238754325259516		0.610752688172043									
"FRANCE"	1994	0.2002528	0.2956989	0.20436218	0.20596305	0.2820513	0.2114549	0.7892248596473949	0.6774193548387096	0.7805018195747941	0.20035146	0.30555555	0.20450144	0.20605728	0.30555555	0.21168074	0.7891210090658258	0.6666666666666666	0.7803451581975072	0.0	0.0	0.083333336	0.0	0.0	0.05882353	1.0	1.0	0.9166666666666666
"GERMANY"	1994	0.10935172	0.11111111	0.10891775	0.115855575	0.20512821	0.11653787	0.8643815201192251	0.8333333333333334	0.8634508348794063	0.10947408	0.11594203	0.10907965	0.1159648	0.21052632	0.11675441	0.8642297650130548	0.8260869565217391	0.8632478632478633	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"IRELAND"	1994	0.25499412	0.1388889	0.25502118	0.2347117	0.16666667	0.23445672	0.5019011406844106	0.6666666666666666	0.5013821700069109	0.25552407	0.16666667	0.2554933	0.23553477	0.14285715	0.23537137	0.5008659508139938	0.5	0.5006925207756233	0.0	0.125	0.027777778	0.0	0.2	0.032258064	1.0	0.75	0.8333333333333334
"ITALY"	1994	0.25641027	0.0	0.19031008	0.2777778	0.0	0.20930232	0.6153846153846154	1.0	0.6744186046511628	0.25	0.0	0.18690476	0.26666668	0.0	0.20481928	0.6666666666666666	1.0	0.6904761904761905									
"NORWAY"	1994	0.2		0.1	0.2		0.11111111	0.8		0.8	0.25		0.125	0.25		0.14285715	0.75		0.75									
"SLOVENIA"	1994	0.21428572	0.1875	0.2375	0.2	0.13043478	0.19298245	0.7857142857142857	0.625	0.725	0.21428572	0.1875	0.2375	0.2	0.13043478	0.19298245	0.7857142857142857	0.625	0.725									
"SPAIN"	1994	0.16054614	0.10714286	0.20117916	0.17411764	0.08571429	0.20578444	0.8206214689265536	0.8571428571428571	0.7511164036915748	0.16122931	0.10714286	0.20164101	0.17473435	0.08571429	0.20618342	0.8198581560283688	0.8571428571428571	0.7505973715651135	0.0		0.060606062	0.0		0.10526316	1.0		0.9090909090909091
"SWITZERLAND"	1994	0.0		0.0	0.0		0.0	1.0		1.0	0.0		0.0	0.0		0.0	1.0		1.0									
