freq,reason,sex,age,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FAM_CARE,F,Y20-64,PC_POP,RS,,,,,1.7,1.4,1.7,2.0,2.2,2.5,2.0,1.8,2.1,2.1,1.9,1.0,0.7,0.6,0.6
A,FAM_CARE,F,Y20-64,PC_POP,SE,,,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,,
A,FAM_CARE,F,Y20-64,PC_POP,SI,0.4,0.3,0.3,0.2,0.2,0.3,0.2,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,
A,FAM_CARE,F,Y20-64,PC_POP,SK,1.1,1.0,0.9,0.9,0.9,0.8,0.9,1.1,1.3,1.1,1.1,1.2,1.1,0.8,0.9,0.5,0.4,0.5,0.4
A,FAM_CARE,F,Y20-64,PC_POP,TR,0.6,0.5,0.6,0.9,0.9,0.8,0.8,1.0,1.2,1.1,1.1,1.1,1.1,1.0,2.0,2.5,2.4,3.1,4.0
A,FAM_CARE,F,Y20-64,PC_POP,UK,,,2.0,2.1,1.9,1.8,2.0,1.8,1.9,1.9,1.8,1.5,1.4,1.4,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,AT,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,BA,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,BE,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,BG,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,CH,,,,,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,CY,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,CZ,0.0,0.0,0.0,0.0,0.0,,,,,0.1,,0.0,,,,0.0,,,
A,FAM_CARE,M,Y20-64,PC_POP,DE,,,,,,,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,DK,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,M,Y20-64,PC_POP,EA21,,,,,,,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,FAM_CARE,M,Y20-64,PC_POP,EE,,,,,,,,,,,,,,,,,,,
